name,description,url-href,price,reviews,activeCategory,image-src
Product Attachments M2,"Let customers get more details about products they purchase. Provide them with accurate manuals, licenses, warranties and other additional info right on product pages. Upload files of any format and use catchy icons to capture customers' attention with Magento 2 Product Attachments.",https://amasty.com/product-attachments-for-magento-2.html,$149,4.8,Images & Media,https://amasty.com/v1587651669/media/catalog/product/p/r/product-attachments-for-magento-2.svg
Advanced Permissions M2,"Easily manage multi-vendor stores by assigning custom role permissions to specific managers. Let them see and edit only particular products, categories, store views and websites.",https://amasty.com/advanced-permissions-for-magento-2.html,$229,4.4,B2B Products,https://amasty.com/v1587666071/media/catalog/product/a/d/advanced-permissions-for-magento-2.svg
Customers Also Bought M2,Increase an average cart value by automatically suggesting relevant products. Create flexible recommendations with the Magento 2 Frequently Bought Together extension to promote products according to your business needs and boost sales.,https://amasty.com/magento-2-customers-also-bought.html,$299,4.8,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/c/u/customers-also-bought-for-magento-2.svg
Custom Stock Status M2,Use custom stock statuses to provide precise information about stock availability of particular products. Easily attract customers' attention with catchy statuses to make them buy more.,https://amasty.com/custom-stock-status-for-magento-2.html,$199,4.9,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/c/u/custom-stock-status-for-magento-2.svg
Store Credit & Refund M2,"Turn refunds into revenue, apply the automated return system to scale up sales. Thank customers for shopping in your store with credit and build their loyalty.",https://amasty.com/store-credit-and-refund-for-magento-2.html,$149,4.7,B2B Products,https://amasty.com/v1587666071/media/catalog/product/s/t/store-credit-_-refund-for-magento-2.svg
Automatic Related Products M2,Dynamically showcase related items in your webstore to help customers easily find necessary products and complete the order. Boost store revenue by setting up smart product recommendations with Magento 2 Related Products!,https://amasty.com/automatic-related-products-for-magento-2.html,$299,4.9,User Experience,https://amasty.com/v1587666071/media/catalog/product/a/u/automatic-related-products-for-magento-2.svg
Hide Price M2,"Hide product prices and ""Add to cart"" button for specific products or whole categories. Manage prices display depending on customer groups. Customize button texts and messages to make your pricing policy maximally flexible.",https://amasty.com/hide-price-for-magento-2.html,$159,5,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/h/i/hide-price-for-magento-2.svg
Exit Intent Popup M2,Employ Magento 2 Exit Intent Popup to convert abandoning store visitors into customers. Drive more sales and notably boost your subscriber base.,https://amasty.com/exit-intent-popup-for-magento-2.html,$199,null,Checkout,https://amasty.com/v1587651669/media/catalog/product/a/n/anti-abandonment-popup-for-magento-2.svg
B2B E-commerce Suite M2,Bring your business to a new level by turning your webstore into a powerful B2B e-commerce solution for Magento 2. Outperform competitors and build a constantly growing base of regular clients with one B2B Suite.,https://amasty.com/b2b-ecommerce-suite-for-magento-2.html,$699,null,B2B Products,https://amasty.com/v1587666071/media/catalog/product/b/2/b2b-suite-for-magento-2.svg
Order Notes M2,"Optimize your order management by creating order notes and marking them with colored flags, badges and other labels. Now you can control the chaos on your order grid and visualize order process.",https://amasty.com/order-notes-for-magento-2.html,$129,5,Order Management,https://amasty.com/v1587651669/media/catalog/product/o/r/order-notes-for-magento-2.svg
Blog Pro M2,Drive more target audience to your store with Magento 2 Blog Pro extension. Enhance your promotional efforts with the powerful content marketing solution.,https://amasty.com/blog-pro-for-magento-2.html,$349,4.6,Images & Media,https://amasty.com/v1587651669/media/catalog/product/b/l/blog-pro-for-magento-2_1.svg
Thank You Page M2,Increase the revenue from repeat sales with a custom Magento 2 order success page. Tailor Magento Thank You Page template and turn it into the first step towards the next purchase.,https://amasty.com/thank-you-page-for-magento-2.html,$149,null,Checkout,https://amasty.com/v1587651669/media/catalog/product/t/h/thank-you-page-for-magento-2_3.svg
Import & Export for Advanced Product Reviews (Add-On) M2,Easily add or extract reviews in bulk using Magento 2 Import & Export Reviews add-on. Create an unlimited number of review data in one click.,https://amasty.com/import-export-add-on-for-advanced-product-reviews-for-magento-2.html,$99,4.5,Add-ons,https://amasty.com/v1587651669/media/catalog/product/a/d/add-on-import-export-for-advanced-product-reviews-for-magento-2_2.svg
Lazy Load M2,Speed up the loading time of your site pages with Magento 2 Lazy Load. Improve your site performance by loading product images by demand!,https://amasty.com/lazy-load-for-magento-2.html,$259,null,Images & Media,https://amasty.com/v1587651669/media/catalog/product/l/a/lazy-load-for-magento-2.svg
Request a Quote M2,Easily interact with customers regarding new best prices for products with Magento 2 Quote Extension. Make highly personalized purchasing offers and grow sales revenue by understanding buyers’ demands.,https://amasty.com/request-a-quote-for-magento-2.html,$319,4.9,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/r/e/request-a-quote-for-magento-2_1.svg
Google Account Login M2,Instantly access your store backend without remembering complex passwords with Magento 2 Google Account Login. Reduce manual efforts onboarding new employees automatically and securely.,https://amasty.com/google-account-login-for-magento-2.html,$99,5,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/g/o/google-account-login-for-magento-2.svg
Store Credit & Refund M2,"Turn refunds into revenue, apply the automated return system to scale up sales. Thank customers for shopping in your store with credit and build their loyalty.",https://amasty.com/store-credit-and-refund-for-magento-2.html,$149,4.7,Order Management,https://amasty.com/v1587651669/media/catalog/product/s/t/store-credit-_-refund-for-magento-2.svg
Free Gift M2,Get 5 promo actions to automatically add free and discounted products to the cart. Show catchy banners to inform customers about special offers and let visitors select a gift among available promo items.,https://amasty.com/free-gift-for-magento-2.html,$229,4.6,Promotions,https://amasty.com/v1587658870/media/catalog/product/f/r/free-gift-for-magento-2icon.svg
Dropshipping M2,Set up your own multi-channel business with no warehouse costs using Magento 2 Dropshipping. Make your store extremely competitive by shipping products to customers directly from suppliers’ warehouses.,https://amasty.com/dropshipping-for-magento-2.html,$399,null,Multi Vendor Solutions,https://amasty.com/v1587651669/media/catalog/product/d/r/dropshipping-for-magento-2.svg
Infinite Scroll M2,Infinite scroll for Magento 2 automatically loads product catalog without reloading the page. Your customers will be pleasantly surprised with supportive navigation and high performance of your web store.,https://amasty.com/infinite-scroll-for-magento-2.html,$119,4.9,Images & Media,https://amasty.com/v1587651669/media/catalog/product/i/n/infinite-scroll-for-magento-2_1.svg
Custom Checkout Fields M2,This extension helps you to perform Magento 2 checkout customization by adding extra fields of various types. Gather comprehensive order data in a convenient way both for customers and admins. Smoothly manage info in custom input forms using the order grid.,https://amasty.com/magento-2-custom-checkout-fields.html,$199,4.6,Checkout,https://amasty.com/v1587651669/media/catalog/product/c/u/custom-checkout-field-for-magento-2.svg
Payment Restrictions M2,"Effectively manage payments in your store. Feel free to restrict payment methods by shipping address, customer groups, store view or product attributes in Magento 2. Restrict cash on delivery, check/money order etc.",https://amasty.com/payment-restrictions-for-magento-2.html,$199,5,Order Management,https://amasty.com/v1587651669/media/catalog/product/p/a/payment-restrictions-for-magento-2.svg
Import and Export M2,"Import and Export for Magento 2 is an all-in-one tool for a convenient store data migration, smooth connection with the ERP/CRM systems and making regular stock updates. The extension allows you to import/export any existing entity to/from Magento.",https://amasty.com/import-and-export-for-magento-2.html,null,null,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/i/m/import-and-export-for-m2-for-magento-2.svg
Mass Order Actions M2,"Grow sales revenue by automatically processing multiple orders faster with Magento 2 Bulk Order. Easily send invoices, submit shipments and edit tracking numbers right from the grid just in a few clicks.",https://amasty.com/mass-order-actions-for-magento-2.html,$149,4.7,Order Management,https://amasty.com/v1587651669/media/catalog/product/m/a/mass-order-actions-for-magento-2.svg
California Consumer Privacy Act M2,Cover all California Consumer Privacy Act requirements with a single solution. Employ the Magento 2 CCPA extension to make your store fully compliant with the CCPA bill without any hassle. Ensure online privacy and strengthen customer trust.,https://amasty.com/california-consumer-privacy-act-for-magento-2.html,$149,null,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/c/a/california-consumer-privacy-for-magento-2.svg
Google Page Speed Optimizer M2,Magento 2 Speed Optimization improves web pages performance in order to place your store at the top of Google search rating. Boost your webstore traffic by the speed optimization and get an endless stream of new visitors!,https://amasty.com/google-page-speed-optimizer-for-magento-2.html,$259,4.9,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/g/o/google-page-speed-optimizer-for-magento-2.svg
Improved Layered Navigation M2,Build the ultimate customer shopping experience and boost your store SEO rankings with a feature-rich navigation system. Display multiple filters and handy widgets to help visitors instantly find the products they need.,https://amasty.com/improved-layered-navigation-for-magento-2.html,$349,4.9,SEO,https://amasty.com/v1587651669/media/catalog/product/i/m/improved-layered-navigation-for-magento-2_3.svg
Special Occasion Coupons M2,"Generate and send discount coupons based on birthdays, newsletter subscriptions, order placement and other events. Use custom email templates to draw customers’ attention and build their loyalty.",https://amasty.com/special-occasion-coupons-for-magento-2.html,$109,5,Promotions,https://amasty.com/v1587658870/media/catalog/product/s/p/special-occasion-coupons-for-magento-2.svg
Improved Sorting M2,Improved sorting for Magento 2 is a very effective tool for store-owners who care about their customers. Increase the usability of your catalog with user-friendly search options! Let your potential clients browse catalog or categories by any comfortable parameters.,https://amasty.com/improved-sorting-for-magento-2.html,$199,4.8,SEO,https://amasty.com/v1587651669/media/catalog/product/i/m/improved-sorting-for-magento-2.svg
Product Labels M2,"Highlight new arrivals, as well as special products and offers to immediately draw customers' attention and grow sales up to 55%. Automatically run several marketing campaigns at a time!",https://amasty.com/product-labels-for-magento-2.html,$199,4.8,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/p/r/product-labels-for-magento-2.svg
Advanced Reports M2,Add Magento 2 Advanced Reports to get all important metrics for your store in one tool. Make beneficial strategic decisions with accurate reporting and grow your sales.,https://amasty.com/advanced-reports-for-magento-2.html,$319,4.7,Order Management,https://amasty.com/v1587651669/media/catalog/product/a/d/advanced-reports-for-magento-2_1.svg
Lazy Load M2,Speed up the loading time of your site pages with Magento 2 Lazy Load. Improve your site performance by loading product images by demand!,https://amasty.com/lazy-load-for-magento-2.html,$259,null,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/l/a/lazy-load-for-magento-2.svg
HTML Sitemap M2,Generate a clear HTML sitemap to help customers easily navigate your website. Include/exclude particular pages from the sitemap and customize its layout to make it perfectly structured.,https://amasty.com/html-sitemap-for-magento-2.html,$99,5,SEO,https://amasty.com/v1587651669/media/catalog/product/h/t/html-for-magento-2.svg
FAQ and Product Questions M2,Equip product pages with the advanced SEO-optimized FAQ section in Magento 2. Transform guests to customers by displaying well-organized info on products and services.,https://amasty.com/faq-and-product-questions-for-magento-2.html,$199,4.8,SEO,https://amasty.com/v1587651669/media/catalog/product/f/a/faq-and-product-questions-for-magento-2.svg
Cross-Sell / Upsell Products M2,"Increase trust in your shop by delivering offers with a higher value to customers. Use Magento 2 Cross Sells extension to increase the number of spontaneous purchases, average cart value, total sales and customer satisfaction.",https://amasty.com/magento-2-upsell-cross-sell-extension.html,$299,4.5,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/u/p/upsell-cross-sell-extension-for-magento-2.svg
Countdown Timer M2,Сreate a sense of urgency with Magento 2 Countdown Timer ⌛ to boost sales and decrease customers’ decision-making time.,https://amasty.com/countdown-timer-for-magento-2.html,$119,4.8,Promotions,https://amasty.com/v1587658870/media/catalog/product/p/r/promo-countdown-for-magento-2.svg
Store Locator M2,Easily guide customers to the nearest stores with Magento 2 Store Locator. Drive more offline sales connecting your webstore to physical stores.,https://amasty.com/store-locator-for-magento-2.html,$199,4.7,User Experience,https://amasty.com/v1587666071/media/catalog/product/s/t/store-locator-for-magento-2.svg
Store Switcher M2,Automatically guide international customers to the corresponding store and provide them with the appropriate currency and language. Make your Magento 2 store attractive and comfortable for shoppers all over the world to lift your business at the international level.,https://amasty.com/store-switcher-for-magento-2.html,$179,5,User Experience,https://amasty.com/v1587666071/media/catalog/product/s/t/store-switcher-for-magento-2.svg
Reports for RMA (Add-On) M2,Analyze the RMA effectiveness and improve return requests processing with Magento 2 RMA Reports add-on.,https://amasty.com/reports-add-on-for-rma-for-magento-2.html,$79,5,Add-ons,https://amasty.com/v1587651669/media/catalog/product/a/d/add-on-reports-for-rma-for-magento-2_2.svg
Promo Banners M2,Display catchy promo banners on corresponding store pages to let customers be aware of all hot deals and specials you offer. Draw visitors' attention to specific products to trigger impulse purchases and increase an average order value.,https://amasty.com/promo-banners-for-magento-2.html,$169,4.8,Images & Media,https://amasty.com/v1587651669/media/catalog/product/p/r/promo-banners-for-magento-2.svg
Facebook Comments M2,Let your customers share their reviews more easily and efficiently. Enhance your sales conversion and credibility.,https://amasty.com/facebook-comments-for-magento-2.html,FREE,null,Free Magento 2 Extensions,https://amasty.com/v1587658870/media/catalog/product/f/a/facebook-comments-for-magento-2.svg
Order Archive M2,Equip your Magento store with a handy tool to easily delete or archive orders. Schedule automatic archive creation to keep your orders grid clean and up-to-date.,https://amasty.com/order-archive-for-magento-2.html,$149,5,Order Management,https://amasty.com/v1587651669/media/catalog/product/o/r/order-archive-for-magento-2.svg
Improved Layered Navigation M2,Build the ultimate customer shopping experience and boost your store SEO rankings with a feature-rich navigation system. Display multiple filters and handy widgets to help visitors instantly find the products they need.,https://amasty.com/improved-layered-navigation-for-magento-2.html,$349,4.9,B2B Products,https://amasty.com/v1587666071/media/catalog/product/i/m/improved-layered-navigation-for-magento-2_3.svg
Improved Sorting M2,Improved sorting for Magento 2 is a very effective tool for store-owners who care about their customers. Increase the usability of your catalog with user-friendly search options! Let your potential clients browse catalog or categories by any comfortable parameters.,https://amasty.com/improved-sorting-for-magento-2.html,$199,4.8,User Experience,https://amasty.com/v1587666071/media/catalog/product/i/m/improved-sorting-for-magento-2.svg
Blog Pro M2,Drive more target audience to your store with Magento 2 Blog Pro extension. Enhance your promotional efforts with the powerful content marketing solution.,https://amasty.com/blog-pro-for-magento-2.html,$349,4.6,SEO,https://amasty.com/v1587651669/media/catalog/product/b/l/blog-pro-for-magento-2_1.svg
Google Page Speed Optimizer M2,Magento 2 Speed Optimization improves web pages performance in order to place your store at the top of Google search rating. Boost your webstore traffic by the speed optimization and get an endless stream of new visitors!,https://amasty.com/google-page-speed-optimizer-for-magento-2.html,$259,4.9,User Experience,https://amasty.com/v1587666071/media/catalog/product/g/o/google-page-speed-optimizer-for-magento-2.svg
Wishlist M2,This tool collects and shows data from all users' wishlists so that you can see the most frequently saved items. Keep a close watch on your customers' demand and easily manage products from one place.,https://amasty.com/wishlist-for-magento-2.html,$49,null,User Experience,https://amasty.com/v1587666071/media/catalog/product/w/i/wishlist-for-magento-2.svg
Color Swatches Pro M2,Provide customers with the most fulfilling shopping experience possible. Enrich the Magento 2 Color Swatches functionality with a bunch of new features.,https://amasty.com/color-swatches-pro-for-magento-2.html,$169,4.8,User Experience,https://amasty.com/v1587666071/media/catalog/product/c/o/color-swatches-pro-for-magento-2.svg
Dropshipping M2,Set up your own multi-channel business with no warehouse costs using Magento 2 Dropshipping. Make your store extremely competitive by shipping products to customers directly from suppliers’ warehouses.,https://amasty.com/dropshipping-for-magento-2.html,$399,null,B2B Products,https://amasty.com/v1587666071/media/catalog/product/d/r/dropshipping-for-magento-2.svg
Store Pickup M2,Drive more sales with Magento 2 Store Pickup extension! Offer improved shopping experience by allowing your customers pickup their orders from the nearest store.,https://amasty.com/store-pickup-for-magento-2.html,$129,4.8,Shipping,https://amasty.com/v1587651669/media/catalog/product/s/t/store-pickup-for-magento-2_1.svg
Extended Product Grid with Editor M2,Enrich standard product grid functionality with a bunch of new handy options. Add any specific column you need and easily modify product information right on the grid. Create grid templates with custom column sets to make product data processing as quick as possible.,https://amasty.com/extended-product-grid-with-editor-for-magento-2.html,$199,4.9,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/e/x/extended-product-grid-with-editor-for-magento-2.svg
Dimensional Shipping Weight M2,Make your shipping rates democratic and exact. Use the package space wisely to save on products delivery. Benefit from an accurate volume and weight estimation.,https://amasty.com/magento-2-dimensional-shipping-weight.html,$199,4.6,Shipping,https://amasty.com/v1587651669/media/catalog/product/d/i/dimensional-shipping-weight-for-magento-2.svg
Size Chart M2,"Provide user-friendly information on differences in sizes by brands, countries, and item types. Help customers find the items that fit them and avoid returns thanks to clear sizing guides with Size Chart extension for Magento 2.",https://amasty.com/size-chart-for-magento-2.html,$149,4.8,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/s/i/size-chart-extension-for-magento-2.svg
Admin Actions Log M2,Magento 2 Admin Actions log is designed to enhance your store security and protect data from possible hacker and other malicious attacks. Get complete visibility of every change made in your store admin panel!,https://amasty.com/admin-actions-log-for-magento-2.html,$249,4.8,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/a/d/admin-actions-log-for-magento-2.svg
One Step Checkout M2,Supply your Magento 2 store with a user-friendly One Step Checkout to speed up the whole shopping process and heavily enhance customer satisfaction. Create converting checkout just in a few clicks to boost store revenue.,https://amasty.com/one-step-checkout-for-magento-2.html,$299,5,User Experience,https://amasty.com/v1587666071/media/catalog/product/o/n/one-step-checkout-for-magento-2.svg
Size Chart M2,"Provide user-friendly information on differences in sizes by brands, countries, and item types. Help customers find the items that fit them and avoid returns thanks to clear sizing guides with Size Chart extension for Magento 2.",https://amasty.com/size-chart-for-magento-2.html,$149,4.8,User Experience,https://amasty.com/v1587666071/media/catalog/product/s/i/size-chart-extension-for-magento-2.svg
Customers Also Bought M2,Increase an average cart value by automatically suggesting relevant products. Create flexible recommendations with the Magento 2 Frequently Bought Together extension to promote products according to your business needs and boost sales.,https://amasty.com/magento-2-customers-also-bought.html,$299,4.8,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/c/u/customers-also-bought-for-magento-2.svg
Push Notifications M2,"With Magento 2 Push Notifications, increase your revenue by strengthening the interaction strategy with target customers. Send appealing push notifications with attractive deals to energize sales.",https://amasty.com/push-notifications-for-magento-2.html,$129,4.7,Promotions,https://amasty.com/v1587658870/media/catalog/product/p/u/push-notification-for-magento-2.svg
Out of Stock Notification M2,Timely inform customers and guest visitors about product stock status and price changes with Magento 2 Out of Stock Notification. Better understand your customers preferences: quickly identify which products are highly demanded and timely refill them in your store!,https://amasty.com/out-of-stock-notification-for-magento-2.html,$199,4.8,User Experience,https://amasty.com/v1587666071/media/catalog/product/o/u/out-of-stock-notification-for-magento-2.svg
Product Feed M2,Equip your store with an agile and highly flexible feeds generator. Add Magento 2 Product Feed to promote your products cost-effectively and grow revenue thanks to extra sales channels.,https://amasty.com/product-feed-for-magento-2.html,$199,4.7,SEO,https://amasty.com/v1587651669/media/catalog/product/p/r/product-feed-for-magento-2.svg
Infinite Scroll M2,Infinite scroll for Magento 2 automatically loads product catalog without reloading the page. Your customers will be pleasantly surprised with supportive navigation and high performance of your web store.,https://amasty.com/infinite-scroll-for-magento-2.html,$119,4.9,User Experience,https://amasty.com/v1587666071/media/catalog/product/i/n/infinite-scroll-for-magento-2_1.svg
Customer Group Catalog M2,Kick-start your selling strategy. Manage Magento 2 prices & products to tailor your store catalog content to meet the needs of a particular customer group.,https://amasty.com/customer-group-catalog-for-magento-2.html,$229,4.8,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/c/u/customer-group-catalog-for-magento-2.svg
Custom Stock Status M2,Use custom stock statuses to provide precise information about stock availability of particular products. Easily attract customers' attention with catchy statuses to make them buy more.,https://amasty.com/custom-stock-status-for-magento-2.html,$199,4.9,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/c/u/custom-stock-status-for-magento-2.svg
Automatic Categories M2,"Employ automatic categories extension to manage your catalog pages more efficiently and faster. Set conditions to run sales and seasonal campaigns, tailoring particular product listings for your purposes.",https://amasty.com/automatic-categories-for-magento-2.html,$229,5,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/a/u/automatic-categories-for-magento-2.svg
Delete Order M2,Extend the default Magento 2 order management functionality with the ability to delete orders. Erase unnecessary orders and related information or move them to archive. Set automatic order grid clearance periods to keep it up-to-date.,https://amasty.com/delete-order-for-magento-2.html,$149,5,Order Management,https://amasty.com/v1587651669/media/catalog/product/d/e/delete-order-for-magento-2.svg
AMP M2,Make your store pages load 85% faster for mobile users with Magento 2 AMP. Improve site usability and visibility in search results by generating super lightweight mobile pages.,https://amasty.com/amp-pages-for-magento-2.html,$149,4.7,SEO,https://amasty.com/v1587651669/media/catalog/product/a/m/amp-pages-for-magento-2.svg
Product Feed M2,Equip your store with an agile and highly flexible feeds generator. Add Magento 2 Product Feed to promote your products cost-effectively and grow revenue thanks to extra sales channels.,https://amasty.com/product-feed-for-magento-2.html,$199,4.7,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/p/r/product-feed-for-magento-2.svg
Gift Card M2,Double sales and retain customers by providing advanced gifting options. Offer no-contact gift cards that can be cashed-out later to grow revenue and keep business stable even during the lockdowns.,https://amasty.com/gift-card-for-magento-2.html,$299,4.7,Promotions,https://amasty.com/v1587658870/media/catalog/product/g/i/gift-card-for-magento-2.svg
Improved Sorting M2,Improved sorting for Magento 2 is a very effective tool for store-owners who care about their customers. Increase the usability of your catalog with user-friendly search options! Let your potential clients browse catalog or categories by any comfortable parameters.,https://amasty.com/improved-sorting-for-magento-2.html,$199,4.8,Navigation & Search,https://amasty.com/v1587651669/media/catalog/product/i/m/improved-sorting-for-magento-2.svg
Improved Layered Navigation M2,Build the ultimate customer shopping experience and boost your store SEO rankings with a feature-rich navigation system. Display multiple filters and handy widgets to help visitors instantly find the products they need.,https://amasty.com/improved-layered-navigation-for-magento-2.html,$349,4.9,User Experience,https://amasty.com/v1587666071/media/catalog/product/i/m/improved-layered-navigation-for-magento-2_3.svg
Pre Order M2,Drive sales for out of stock or just announced products! Allow buyers to easily pre order or backorder goods that are unavailable for immediate delivery. Get a powerful marketing research tool to analyze customers’ demands.,https://amasty.com/pre-order-for-magento-2.html,$189,4.8,B2B Products,https://amasty.com/v1587666071/media/catalog/product/p/r/pre-order-for-magento-2.svg
Infinite Scroll M2,Infinite scroll for Magento 2 automatically loads product catalog without reloading the page. Your customers will be pleasantly surprised with supportive navigation and high performance of your web store.,https://amasty.com/infinite-scroll-for-magento-2.html,$119,4.9,Navigation & Search,https://amasty.com/v1587651669/media/catalog/product/i/n/infinite-scroll-for-magento-2_1.svg
